# List of cruise ships
> L

| Name | Operator | Began operation | Tonnage | Status |
| --- | --- | --- | --- | --- |
| L'Amant | Phoenix Voyages | 2009 |  | Built in 2009 by the Vietnamese shipyard, Vuot Song, L'Amant operates on the Mekong River in Vietnam. [5] |
| L'Austral | Ponant Cruises | 2011 | 10,700 | Operating |
| Le Boréal | Ponant Cruises | 2010 | 10,700 | Operating |
| Le Diamant | Ponant Cruises | 2004 | 8,282 | Operating; formerly: Song of Flower , Explorer Starship [6] |
| Le Levant | Ponant Cruises | 1999 | 3,504 | Operating |
| Le Ponant | Ponant Cruises | 1991 | 1,489 | Operating |
| Legacy | Windjammer Barefoot Cruises | 1997 |  | Cut up for scrap at Puerto Caldera, Costa Rica |
| Legend of the Seas | Royal Caribbean International | 1995 | 70,000 | Operating |
| Leonardo da Vinci | Italian Line | 1960 | 33,340 | Ended service in 1978. Scrapped 1982. |
| Leisure World | New Century Cruise Lines | 1969 | 16,254 | Operating. Formerly: Skyward (1969-1991), Shangri-La World (1991-1992), Asean World (1992), Fantasy World (1992-1993), Leisure World (1993-present) |
| Leonid Sobinov | Black Sea Shipping Company | 1974 | 21,370 | Formerly: Saxonia , Carmania . Ended service 1995. Scrapped 1999. |
| Liberty of the Seas | Royal Caribbean International | 2007 | 154,407 | Operating |
| Lord of the Glens | Magna Carta Steamship Company Ltd | 2000 | 729 | Cruises Caledonian Canal and North of Scotland |
| Louis Olympia | Louis Cruise Lines / Thomson Cruises | 2005 | 37,773 | Operating. Formerly: Song of America , Sunbird , Thomson Destiny |
| SS Lurline (1931) | Matson Lines | 1963 | 18,017 | Formerly SS Monterey (1932–1953) and SS Matsonia (1954–63), sold and renamed the Britanis (1970), chartered to the US Government as an accommodation ship (1994), laid up in (1996), sold and renamed Belofin I (1998), sold for scrap and sank off the Cape of Good Hope while en route to the breakers in 2000 |
| Lyubov Orlova |  | 1976 | 4,251 | Operated as a charter vessel to several tour companies; sold for scrap to Neptune International Shipping, February 2012. Broke loose under tow from St John's to the Dominican Republic and was abandoned in international waters off Newfoundland in February, 2013. |
