# Cooking Oils — Smoke Point and Thermal Stability (No Fatty Acid Breakdown)

| Oil | Refining level | Smoke point (°C) | Flash point (°C) | Typical use | Notes |
| --- | --- | ---: | ---: | --- | --- |
| Extra virgin olive oil | Unrefined | 190 | 220 | Sauté, dressings | Flavorful, lower heat tolerance |
| Refined olive oil | Refined | 240 | 260 | Frying | Neutral flavor |
| Avocado oil | Refined | 270 | 300 | High-heat frying | Very high smoke point |
| Canola oil | Refined | 205 | 240 | Baking, frying | Mild taste |
| Sunflower oil (refined) | Refined | 232 | 260 | Frying | Common in commercial kitchens |
| Sesame oil (toasted) | Unrefined | 177 | 210 | Finishing | Aromatic, not for high heat |
| Coconut oil | Virgin | 177 | 204 | Baking | Solid at room temp |
| Ghee | Clarified butter | 250 | 280 | Frying | Milk solids removed |
| Peanut oil | Refined | 232 | 260 | Deep frying | Popular for high-heat frying |
| Grapeseed oil | Refined | 216 | 245 | Sauté, frying | Often marketed as “light” oil |
