# US Governor Term Limits by State (Summary of Maximum Terms)

| State | Governor term limit (summary) | Notes |
|---|---|---|
| California | 2 terms | Four-year terms |
| Delaware | 2 terms | Lifetime maximum |
| Maine | 2 terms | Four-year terms |
| Massachusetts | No limit | No statutory cap |
| New York | No limit | Unlimited re-election |
| Texas | No limit | Unlimited re-election |
| Virginia | 1 term | Four-year term |
| Washington | 2 terms | Four-year terms |
| Wisconsin | No limit | Unlimited |
| Florida | 2 terms | Applies to the governor |
| Colorado | 2 terms | Applies to elected executive offices |
