# Minecraft Mini-Game Networks (Quick Join Addresses)

| Rank | Network | Primary Modes | Region | Join Address |
|---:|---|---|---|---|
| 1 | SkyDash Network | SkyWars, BedWars | NA/EU | play.skydash.net |
| 2 | BlockArena | PvP, Duels | NA | mc.blockarena.com:25565 |
| 3 | CastleGames | TNT Run, Spleef | EU | castlegames.eu |
| 4 | PixelParty | Party Games | NA | join.pixelparty.net |
| 5 | UHC Masters | UHC, Meetup | NA | uhcmasters.net |
| 6 | RaceCraft | Elytra Racing | EU | play.racecraft.org |
| 7 | KitPvP Hub | KitPvP, FFA | NA | kitpvp-hub.net:25570 |
| 8 | BridgeBattles | The Bridge, Duels | AS | play.bridgebattles.asia |
| 9 | BuildWars | Build Battle | EU | buildwars.net |
| 10 | ArcadeCentral | Arcade Mix | NA | arcadecentral.gg |
| 11 | MobMayhem | Mob Arena, Bosses | NA | mc.mobmayhem.net |
| 12 | CapturePoint | CTF, Domination | EU | capturepoint.eu:25565 |
| 13 | ParkourPalace | Parkour | NA | parkourpalace.net |
| 14 | SurvivalGames Hub | SG, Blitz | EU | sg-hub.org |
| 15 | LuckyDuels | LuckyBlock Duels | NA | luckyduels.net |
| 16 | HexMini | Hex, Party | NA | play.hexmini.com |
| 17 | BattleBoat | Boat Racing | EU | battleboat.eu |
| 18 | SnowballFight | Snowball PvP | NA | snowballfight.net |
| 19 | TNTWorld | TNT Games | EU | tntworld.net |
| 20 | PuzzlePlay | Puzzle Minigames | NA | puzzleplay.gg |
