# Amino Acid Abbreviations and Side-Chain Polarity (No Nutrition Classification)

| Amino acid | 3-letter | 1-letter | Side-chain polarity | Charge at pH 7 | Category |
|---|---|---|---|---|---|
| Glycine | Gly | G | Nonpolar | Neutral | Aliphatic |
| Alanine | Ala | A | Nonpolar | Neutral | Aliphatic |
| Valine | Val | V | Nonpolar | Neutral | Branched-chain |
| Leucine | Leu | L | Nonpolar | Neutral | Branched-chain |
| Isoleucine | Ile | I | Nonpolar | Neutral | Branched-chain |
| Serine | Ser | S | Polar | Neutral | Hydroxyl |
| Threonine | Thr | T | Polar | Neutral | Hydroxyl |
| Aspartic acid | Asp | D | Polar | Negative | Acidic |
| Lysine | Lys | K | Polar | Positive | Basic |
| Phenylalanine | Phe | F | Nonpolar | Neutral | Aromatic |
