# US Benchmark Rates Snapshot (Not Mortgage Products)

| Benchmark | Current | 1-Day Change | 1-Week Change | Notes |
| --- | --- | --- | --- | --- |
| Federal Funds Effective Rate | 5.33% | +0.00 | +0.00 | Policy rate |
| SOFR (Overnight) | 5.31% | -0.01 | +0.02 | Secured funding |
| 3-Month Treasury Bill | 5.21% | +0.03 | +0.07 | Government bill |
| 2-Year Treasury Note | 4.35% | +0.06 | +0.14 | Short/intermediate |
| 5-Year Treasury Note | 4.05% | +0.05 | +0.11 | Intermediate |
| 10-Year Treasury Note | 3.95% | +0.04 | +0.09 | Long-term benchmark |
| 30-Year Treasury Bond | 4.10% | +0.03 | +0.07 | Long-term benchmark |
| 30-Year Fixed Mortgage “Index Spread” (Conceptual) | 1.70% | +0.00 | -0.02 | Not a lender offer |
| AAA Corporate 10-Year | 4.70% | +0.02 | +0.05 | Credit spread proxy |
