# Rotational Symmetry of Regular Polygons and Common Circle-Based Shapes (2D)

| 2D shape | Parameters (if any) | Axes of reflection symmetry | Order of rotational symmetry | Notes |
| --- | --- | --- | --- | --- |
| Regular pentagon | n = 5 | 5 | 5 | Rotations by multiples of 72° |
| Regular hexagon | n = 6 | 6 | 6 | Rotations by multiples of 60° |
| Regular octagon | n = 8 | 8 | 8 | Rotations by multiples of 45° |
| Regular decagon | n = 10 | 10 | 10 | Rotations by multiples of 36° |
| Circle | — | infinitely many | infinitely many | Any rotation maps it onto itself |
| Semicircle | — | 1 | 1 | 180° rotation does not match the flat edge |
| Ellipse (non-circular) | — | 2 | 2 | 180° rotational symmetry only |
| Annulus (ring) | — | infinitely many | infinitely many | Same rotational symmetry as a circle |
| Sector (non-semicircular, e.g., 60°) | central angle not 180° | 1 (about bisector) | 1 | Typically only identity rotation works |
| Regular n-gon (general rule) | n ≥ 3 | n | n | Rotational order equals number of sides |
| Irregular n-gon (generic) | n ≥ 3 | 0 | 1 | Usually no non-trivial symmetry |
