# List of terrorist incidents in 2000
> July

| Date | Dead | Injured | Location and description |
| --- | --- | --- | --- |
| July;1 | 0 | 0 | Northern Ireland : A IRA bomb exploded on a railway on Belfast to Dublin line. The bomb exploded near Newry no one was killed or injured in the blast. [75] |
| July;4 | 0 | 0 | Jakarta : A bomb exploded in the office of the Attorney General and two other bombs were found and defused before they could explode. The bombs were powerful enough to destroy the building if they had exploded. Investigators said the bombs were 'military type,' though they were not necessarily planted by the military. [76] |
| July;7 | 0 | 0 | Vitoria : An explosive device, left inside a backpack, exploded in the offices of the daily newspaper El Correo in Vitoria. The blast caused damages but no injuries. [77] |
| July;8 | 0 | 0 | Northern Ireland : A car bomb exploded in Stewartstown outside a Royal Ulster Constabulary (RUC) building. The blast damaged the building, a petrol station and a church nearby. This attack comes as tensions in the area are high because the Drumcree parade has been barred from taking place. Police believe this bomb to be the work of the Real Irish Republican Army (RIRA). [78] |
| July;9 | 6 | 18 | North Ossetia : A bomb exploded in the market in capital of North Ossetia. Vladikavkaz. The device had been killed with metal fragments. Six people were killed and eighteen wounded. Investigators believed the attack was intended to destabilize the situation in the city. The city is also a stopping point for Russian soldiers and a city which has been hit by more devastating bombings in the recent past (1999). [79] |
| July;12 | 0 | 10 | Madrid : Ten minutes after a member of the Basque Fatherland and Freedom (ETA) called in a warning to police, a car bomb exploded in the center of Madrid, injuring ten people. The bomb contained over fifteen kilos of explosives. One of the injured was a police officer who was responding to the ETA warning. [80] |
| July;13 | 0 | 5 | Lahore : A bomb placed in a garbage dump near a bus stand detonated, injuring five. The bomb exploded near Chungi Amar Sidhu Bazaar. [81] |
| July;15 | 1 | 0 | Málaga : Councillor Martin Carpena shot dead by ETA in Málaga. [82] |
| July;16 | 2 | 33 | Kabacan : A powerful bomb exploded through a market in the Southern Philippines, killing two people and wounding thirty-three others. The bomb exploded at the public market in the predominantly Christian town of Kabacan in North Cotabato. Investigators believe that the attack was perpetrated by the Muslim Separatist group, Moro Islamic Liberation Front (MILF), because the device used was similar to other bombings linked to the group. However, the MILF denied responsibility for the bombing. [83] |
| July;16 | 2 | 5 | Dushanbe : A bomb targeting a European Union vehicle exploded in Dushanbe, killing one person and injuring four others, including three children. The vehicle had markings indicating that it was property of the European Union's ECO humanitarian bureau. It was parked in a residential area near the mayoralty building. On this day another bomb attack targeted the vehicle in which Shamsullo Jobirov, Deputy Security Minister and a candidate for the national parliament, and Makmadsaid Ubaydullayev, mayor of Dushanbe, were traveling after a government meeting in the capital. Jobirov was killed and Ubaydullayev was injured. It is unclear if the two bombings were coordinated. [83] |
| July;22 | 0 | 1 | Istanbul : Two banks in the Sisli neighborhood of Istanbul were targeted in bomb attacks, which injured one person. Both the banks' ATMs were completely destroyed. [84] |
| July;23 | 6 | 22 | Quetta : Bomb in Quetta kills six and wounds 22. [85] |
| July;24 | 6 | 10 | At least six people were killed and ten others injured when a powerful bomb ripped through a private bus. [86] |
| July;24 | 0 | 4 | Getxo : Four people, including two police officers, were injured when a car bomb exploded in Getxo outside the home of Pilar Aresti, a Popular Party (PP) senator. Authorities stated that this bomb is similar to another that exploded in Getxo on 24 June. [86] |
| July;26 | 0 | 19 | Jolo Island : Abu Sayyaf grenade attack on Jolo café injures 18; grenade attack on cathedral injures 1. [87] |
| July;29 | 1 | 0 | Jáuregui, Buenos Aires : Juan Maria Jauregui was shot and killed by two suspected Basque Fatherland and Freedom (ETA) members in Tolosa. Jauregui was the former representative of the Interior Ministry and a member of the ruling Popular Party. [88] |
