# BBC Scotland Sports Personality of the Year — Winners (Year-by-Year)

| Year | Winner | Category (Individual/Team) | Sport / Role | Notes |
|---|---|---|---|---|
| 2023 | Eilidh Doyle | Individual | Athletics (400m hurdles) | National record-holder recognition |
| 2022 | Scotland Women’s Curling Team | Team | Curling | Major championship success |
| 2021 | Laura Muir | Individual | Athletics (middle-distance) | Olympic medal season |
| 2020 | Andy Robertson | Individual | Football (defender) | Club title-winning season |
| 2019 | Finn Russell | Individual | Rugby union (fly-half) | Standout international season |
| 2018 | Duncan Scott | Individual | Swimming | European golds & records |
| 2017 | Scottish Men’s Rugby Sevens Team | Team | Rugby sevens | World Series event win |
| 2016 | Chris Hoy | Individual | Cycling (track) | Career recognition edition |
| 2015 | Lizzy Yarnold | Individual | Skeleton | World Championship podium year |
