# Marco Polo (TV Series 2014–2016) — Crew Directory (Department Heads, Not Cast)

| Department | Name | Role | Episodes Credited | Notes |
|---|---|---|---:|---|
| Production | John Fusco | Creator / Executive Producer | 20 | Series creator |
| Directing | Alik Sakharov | Director | 4 | Multiple episodes |
| Writing | Patrick Macmanus | Writer | 6 | Staff writer |
| Cinematography | David Franco | Director of Photography | 8 | Visual style lead |
| Editing | Leo Trombetta | Editor | 7 | Post-production |
| Music | Daniele Luppi | Composer | 10 | Score credits |
| Art | Howard Cummings | Production Designer | 10 | Sets & design |
| Costumes | Sandra Hernandez | Costume Designer | 6 | Wardrobe |
| Stunts | Brett Chan | Stunt Coordinator | 9 | Action sequences |
