# Public Holidays in Japan in 2016   National Holiday Calendar

| Day | Date | Holiday | Notes |
| --- | --- | --- | --- |
| Friday | 01-Jan-2016 | New Year's Day | National holiday |
| Monday | 11-Jan-2016 | Coming of Age Day | Observed on the 2nd Monday of January |
| Thursday | 11-Feb-2016 | National Foundation Day | National holiday |
| Sunday | 20-Mar-2016 | Vernal Equinox Day | Astronomical observance |
| Friday | 29-Apr-2016 | Showa Day | Start of Golden Week |
| Tuesday | 03-May-2016 | Constitution Memorial Day | Golden Week |
| Wednesday | 04-May-2016 | Greenery Day | Golden Week |
| Thursday | 05-May-2016 | Children's Day | Golden Week |
| Monday | 18-Jul-2016 | Marine Day | Observed on the 3rd Monday of July |
| Thursday | 11-Aug-2016 | Mountain Day | National holiday |
| Monday | 19-Sep-2016 | Respect for the Aged Day | Observed on the 3rd Monday of September |
| Thursday | 22-Sep-2016 | Autumnal Equinox Day | Astronomical observance |
| Monday | 10-Oct-2016 | Health and Sports Day | Observed on the 2nd Monday of October |
| Thursday | 03-Nov-2016 | Culture Day | National holiday |
| Wednesday | 23-Nov-2016 | Labour Thanksgiving Day | National holiday |
