# Sovereign Ratings Watchlist and Outlook Changes (No Side-by-Side Agency Columns)

| Country | Agency | Rating | Outlook | Watch/Review Status | Date |
|---|---|---|---|---|---|
| Italy | S&P | BBB | Stable | CreditWatch Negative | 2024-06-02 |
| Italy | Moody's | Baa3 | Stable | Under Review | 2024-06-20 |
| Italy | Fitch | BBB | Negative | Rating Watch | 2024-06-25 |
| Brazil | S&P | BB | Positive | Outlook Revised | 2024-05-10 |
| Brazil | Moody's | Ba2 | Positive | Under Review | 2024-05-19 |
| Brazil | Fitch | BB | Stable | No Watch | 2024-05-22 |
| India | S&P | BBB- | Stable | No Watch | 2024-04-08 |
| India | Moody's | Baa3 | Stable | No Watch | 2024-04-12 |
| India | Fitch | BBB- | Stable | No Watch | 2024-04-15 |
| Turkey | S&P | B+ | Stable | Under Review | 2024-03-03 |
| Turkey | Moody's | B3 | Stable | Under Review | 2024-03-07 |
| Turkey | Fitch | B+ | Stable | No Watch | 2024-03-11 |
