# Wi‑Fi 2.4 GHz (802.11b g n) Channel-to-Frequency Lookup (Center Frequency and Occupied Range)

| Channel | Center Frequency (MHz) | Typical Occupied Range (MHz) | Notes |
| --- | --- | --- | --- |
| 1 | 2412 | 2401–2423 | 20 MHz nominal channel width |
| 2 | 2417 | 2406–2428 | 5 MHz channel spacing |
| 3 | 2422 | 2411–2433 | Overlaps adjacent channels |
| 4 | 2427 | 2416–2438 |  |
| 5 | 2432 | 2421–2443 |  |
| 6 | 2437 | 2426–2448 | Common non-overlapping set (1/6/11) |
| 7 | 2442 | 2431–2453 |  |
| 8 | 2447 | 2436–2458 |  |
| 9 | 2452 | 2441–2463 |  |
| 10 | 2457 | 2446–2468 |  |
| 11 | 2462 | 2451–2473 | Common non-overlapping set (1/6/11) |
| 12 | 2467 | 2456–2478 | Allowed in many regions, not all |
| 13 | 2472 | 2461–2483 | Allowed in many regions, not all |
| 14 | 2484 | 2473–2495 | Japan-only (legacy 802.11b) |
