# Backbends, Hip Openers, and Inversions  English–Sanskrit Pose Name Mapping

| Family | English Pose Name | Sanskrit / Transliteration | Common Notes (optional) |
| --- | --- | --- | --- |
| Backbend (Prone) | Cobra Pose | Bhujangasana | low backbend |
| Backbend (Prone) | Locust Pose | Salabhasana | prone lift |
| Backbend (Prone) | Bow Pose | Dhanurasana | deep backbend |
| Backbend (Supine) | Bridge Pose | Setu Bandha Sarvangasana | supported or active |
| Backbend (Supine) | Wheel Pose | Urdhva Dhanurasana | full backbend |
| Hip Opener (Seated) | Bound Angle Pose | Baddha Konasana | groin opener |
| Hip Opener (Seated) | Cow Face Pose | Gomukhasana | hips/shoulders |
| Arm Balance | Crow Pose | Bakasana | foundational arm balance |
| Inversion | Shoulderstand | Salamba Sarvangasana | supported shoulderstand |
| Inversion | Plow Pose | Halasana | often after shoulderstand |
| Inversion | Headstand | Salamba Sirsasana | classic headstand |
