# Metropolitan Areas by U.S. Census Region (No State Column)

| Census Region | Metro Area | Population (2019 est.) | Included Areas |
| --- | --- | --- | --- |
| Northeast | New York–Newark–Jersey City | 19,000,000+ | NYC core + surrounding counties |
| Northeast | Boston–Cambridge–Newton | 4,900,000+ | Boston area |
| Midwest | Chicago–Naperville–Elgin | 9,400,000+ | Multi-state metro (not listed) |
| Midwest | St. Louis | 2,800,000+ | Bi-state metro (not listed) |
| South | Dallas–Fort Worth–Arlington | 7,500,000+ | DFW |
| South | Miami–Fort Lauderdale–West Palm Beach | 6,100,000+ | South Florida |
| West | Los Angeles–Long Beach–Anaheim | 13,200,000+ | LA basin |
| West | San Francisco–Oakland–Berkeley | 4,700,000+ | Bay Area core |
| West | Denver–Aurora–Lakewood | 2,900,000+ | Front Range |
