# U.S. Seat Belt Law Comparison by State (Who, Seat Position, and Primary vs Secondary Enforcement)

| State | Enforcement type | Who is covered (summary) | Seats covered | Maximum fine (1st offense, typical) |
| --- | --- | --- | --- | --- |
| California | Primary | Driver and passengers age 16+; minors covered via youth provisions | All | Varies by county/court fees |
| New York | Primary | Driver and all passengers age 16+; children under 16 required | All | Varies (plus surcharges) |
| New Jersey | Primary | Driver and all front-seat passengers; under-18 passengers required | Front (adults); All (under 18) | Varies |
| Pennsylvania | Secondary | Driver and front-seat passengers age 8+ | Front | Varies |
| Ohio | Secondary | Driver and front-seat passengers; under-15 passengers required | Front (adults); All (under 15) | Varies |
| Michigan | Primary | Driver and front-seat passengers; under-16 passengers required | Front (adults); All (under 16) | Varies |
| Illinois | Primary | Driver and all passengers age 8+ | All | Varies |
| Minnesota | Primary | Driver and all passengers | All | Varies |
| Missouri | Secondary (adult) | Driver and front-seat passengers; under-16 passengers required | Front (adults); All (under 16) | Varies |
| Texas | Primary | Driver and all passengers age 8+ | All | Varies |
| Washington | Primary | Driver and all passengers | All | Varies |
| Oregon | Primary | Driver and all passengers | All | Varies |
| Nevada | Secondary | Driver and all passengers age 6+ | All | Varies |
| Utah | Secondary | Driver and front-seat passengers; under-19 passengers required | Front (adults); All (under 19) | Varies |
| Massachusetts | Secondary | Driver and front-seat passengers; children covered by separate provisions | Front | Varies |
