# Bottled Water pH by Brand (Selected U.S. & International Brands)

| Brand | pH | Water Type | Source/Origin | Notes |
| --- | ---: | --- | --- | --- |
| Aquafina | 5.8 | Purified | USA | Reverse osmosis; slightly acidic taste |
| Dasani | 5.6 | Purified | USA | Minerals added for flavor |
| Arrowhead | 6.7 | Spring | USA (CA) | Mild, neutral-leaning |
| Deer Park | 6.5 | Spring | USA (East) | Light mineral profile |
| Zephyrhills | 6.9 | Spring | USA (FL) | Near-neutral |
| Crystal Geyser | 6.2 | Spring | USA | Can vary by bottling source |
| Mountain Valley | 7.3 | Spring | USA (AR) | Naturally mineral; slightly alkaline |
| Evian | 7.2 | Spring | France | Smooth; moderate minerals |
| Fiji | 7.4 | Artesian | Fiji | Silica-rich; soft mouthfeel |
| Smartwater | 7.0 | Purified (vapor-distilled) | USA | Electrolytes added; neutral |
| Perrier | 5.4 | Sparkling mineral | France | Carbonation lowers pH |
| San Pellegrino | 5.6 | Sparkling mineral | Italy | Sparkling; crisp acidity |
