# Selected trace element abundances in the Earth's crust (mass fraction in ppm)

| Group | Element | Symbol | Abundance (ppm, by mass) |
|---|---|---|---:|
| Trace metals | Copper | Cu | 60 |
| Trace metals | Zinc | Zn | 70 |
| Trace metals | Nickel | Ni | 80 |
| Trace metals | Chromium | Cr | 100 |
| Trace metals | Cobalt | Co | 25 |
| Trace metals | Lead | Pb | 14 |
| Trace metals | Tin | Sn | 2.3 |
| Trace metals | Tungsten | W | 1.3 |
| Halogens | Fluorine | F | 585 |
| Halogens | Chlorine | Cl | 170 |
| Volatiles | Carbon | C | 200 |
| Volatiles | Sulfur | S | 260 |
