# List of LGBT characters in film
> E

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Clay Easton | Less Than Zero | Bisexual | Film |
| Graham Eaton | But I'm a Cheerleader | Lesbian | Film |
| Banky Edwards | Chasing Amy ; Jay and Silent Bob Strike Back | Gay | Film |
| Lili Elbe | The Danish Girl | Transgender | Film |
| Sheliss Elleness Zurbach | Night When Evil Falls | Bisexual | Anime |
| Emma | Blue Is the Warmest Colour | Lesbian | Film |
| Eric | Elephant | Gay | Film |
| Erich | Midnight Express | Gay | Film |
| Erin | Sex and the City 2 | Lesbian | Film |
