# Autonomic Neurotransmitters in Clinical Pharmacology (Drugs and Side Effects)

| Drug class | Example drug | Primary autonomic transmitter system | Main target receptor | Intended clinical effect | Common adverse effects |
|---|---|---|---|---|---|
| Antimuscarinic | Atropine | Cholinergic (ACh) | Muscarinic | Treat bradycardia | Dry mouth, urinary retention |
| Cholinesterase inhibitor | Neostigmine | Cholinergic (ACh) | Increases ACh at synapses | Reverse neuromuscular blockade | Bradycardia, diarrhea |
| α1 agonist | Phenylephrine | Adrenergic (NE/Epi) | α1 | Nasal decongestion | Hypertension, reflex bradycardia |
| β-blocker | Propranolol | Adrenergic (NE/Epi) | β1/β2 | Reduce blood pressure | Bronchospasm, fatigue |
| β2 agonist | Albuterol | Adrenergic (Epi-like) | β2 | Bronchodilation | Tremor, tachycardia |
| α2 agonist | Clonidine | Adrenergic (NE) | α2 | Lower sympathetic outflow | Sedation, rebound hypertension |
| Ganglionic blocker | Hexamethonium | Cholinergic (ACh) | Nicotinic (Nn) | Historical antihypertensive | Orthostatic hypotension |
| Indirect sympathomimetic | Amphetamine | Adrenergic (NE/DA) | Promotes NE release | ADHD | Insomnia, appetite loss |
| NO donor | Nitroglycerin | Nitrergic (NO) | cGMP pathway | Angina relief | Headache, hypotension |
