# U.S. Passport Acceptance Facility Fees and Services (Execution-Focused)

| Acceptance Facility Service | Typical Charge | Who Collects It | When Paid | Speed/Expedite Mention |
| --- | ---: | --- | --- | --- |
| Execution (Acceptance) Fee | $35 | Acceptance facility | At appointment | Not an expedite add-on |
| Photo Service | $10–$20 | Acceptance facility | At appointment | Not processing speed |
| Copy/Printing | $1–$5 | Acceptance facility | At appointment | Not processing speed |
| Priority Mailing to Agency | $0–$10 | Acceptance facility | At appointment | Shipping only, not expedite |
| Appointment/Clerical Fee | $0–$15 | Acceptance facility | At appointment | Not expedite |
| Money Order Fee | $1–$3 | Payment vendor | At purchase | Not expedite |
| Parking/Facility Fee | $0–$10 | Facility/lot | At visit | Not expedite |
| After-hours/Weekend Service | $0–$50 | Acceptance facility | At visit | Convenience, not expedite |
| Passport Tracking Assistance | $0–$5 | Acceptance facility | Optional | Not expedite |
