# Most Fuel-Efficient SUVs — MPG Ranking (Overall MPG)

| Rank | SUV model | Overall MPG |
| --- | --- | --- |
| 1 | Toyota RAV4 Hybrid (XLE) | 31 |
| 2 | Honda CR-V Hybrid | 30 |
| 3 | Lexus RX 450h | 29 |
| 4 | Lexus NX 300h | 29 |
| 5 | Ford Escape Hybrid (FWD) | 28 |
| 6 | Kia Niro (FE) | 27 |
| 7 | Hyundai Tucson Hybrid | 26 |
| 8 | Toyota RAV4 (XLE) | 24 |
| 9 | Jeep Grand Cherokee (Diesel) | 24 |
| 10 | Subaru Forester (2.5L) | 26 |
| 11 | Mazda CX-5 (2.5L) | 25 |
| 12 | Hyundai Kona (2.0L) | 30 |
