# Debt Collection Time Limits by State (Grouped by Region, No Oral Written Split)

| Region | State | Limitation period (years) | Primary debt type emphasized | Source note |
|---|---|---:|---|---|
| West | California | 4 | Consumer debt (general) | Summary chart |
| West | Nevada | 4 | Open/revolving debt | Summary chart |
| West | Oregon | 6 | Contract actions (general) | Summary chart |
| West | Washington | 6 | Debt/contract (general) | Summary chart |
| South | Florida | 5 | Debt/contract (general) | Summary chart |
| South | Georgia | 6 | Written contract often cited | Summary chart |
| Midwest | Illinois | 10 | Written contract often cited | Summary chart |
| Midwest | Michigan | 6 | Contract actions (general) | Summary chart |
| Northeast | New York | 6 | Debt/contract (general) | Summary chart |
| Northeast | Massachusetts | 6 | Contract actions (general) | Summary chart |
