# List of birds of Thailand
> List

| Common name | Binomial | Status |
| --- | --- | --- |
| Eurasian woodcock | Scolopax rusticola | Winter visitor |
| Jack snipe | Lymnocryptes minimus | Rare winter visitor |
| Wood snipe | Gallinago nemoricola | Very rare winter visitor |
| Pin-tailed snipe | Gallinago stenura | Winter visitor |
| Swinhoe's snipe | Gallinago megala | Very rare winter visitor |
| Common snipe | Gallinago gallinago | Winter visitor |
| Long-billed dowitcher | Limnodromus scolopaceus | One record |
| Asian dowitcher | Limnodromus semipalmatus | Rare on passage |
| Black-tailed godwit | Limosa limosa | Winter visitor |
| Bar-tailed godwit | Limosa lapponica | Winter visitor |
| Little curlew | Numenius minutus | Very rare passage migrant |
| Whimbrel | Numenius phaeopus | Winter visitor |
| Eurasian curlew | Numenius arquata | Winter visitor |
| Far Eastern curlew | Numenius madagascariensis | Rare passage migrant |
| Spotted redshank | Tringa erythropus | Winter visitor |
| Common redshank | Tringa totanus | Winter visitor |
| Marsh sandpiper | Tringa stagnatilis | Winter visitor |
| Common greenshank | Tringa nebularia | Winter visitor |
| Nordmann's greenshank | Tringa guttifer | Rare winter visitor |
| Green sandpiper | Tringa ochropus | Winter visitor |
| Wood sandpiper | Tringa glareola | Winter visitor |
| Grey-tailed tattler | Tringa brevipes | Rare on passage |
| Terek sandpiper | Xenus cinereus | Winter visitor |
| Common sandpiper | Actitis hypoleucos | Winter visitor |
| Ruddy turnstone | Arenaria interpres | Winter visitor |
| Great knot | Calidris tenuirostris | Mainly passage migrant |
| Red knot | Calidris canutus | Winter visitor |
| Sanderling | Calidris alba | Winter visitor |
| Red-necked stint | Calidris ruficollis | Common winter visitor |
| Little stint | Calidris minuta | Rare in winter [2] |
| Temminck's stint | Calidris temminckii | Winter visitor |
| Long-toed stint | Calidris subminuta | Winter visitor |
| Sharp-tailed sandpiper | Calidris acuminata | Very rare winter visitor |
| Curlew sandpiper | Calidris ferruginea | Winter visitor |
| Dunlin | Calidris alpina | Rare winter visitor |
| Spoon-billed sandpiper | Eurynorhynchus pygmeus | Rare on passage and in winter, declining due to collapse of breeding population [26] [27] |
| Broad-billed sandpiper | Limicola falcinellus | Winter visitor |
| Ruff | Philomachus pugnax | Winter and passage visitor |
| Red-necked phalarope | Phalaropus lobatus | Rare in winter or on passage |
| Red phalarope | Phalaropus fulicarius | Rare in winter or on passage |
