# 1988 NBA draft
> Notable undrafted players

| Player | Position | Nationality | School/Club team |
| --- | --- | --- | --- |
| Englestad, Wayne Wayne Englestad | PF | United States | UC Irvine (Sr.) |
| Ferrell, Duane Duane Ferrell | SF | United States | Georgia Tech (Sr.) |
| Gillery, Ben Ben Gillery | C | United States | Georgetown (Sr.) |
| James, Henry Henry James | PF/SF | United States | St. Mary's (TX) (Sr.) |
| Johnson, Avery Avery Johnson | PG | United States | Southern (Sr.) |
| Jones, Bill Bill Jones | PF | United States | Iowa (Sr.) |
| Legler, Tim Tim Legler | SG | United States | La Salle (Sr.) |
| McKinney, Carlton Carlton McKinney | SG | United States | SMU (Sr.) |
| Moore, Tracy Tracy Moore | SG/SF | United States | Tulsa (Sr.) |
| Morton, Richard Richard Morton | PG | United States | Cal State Fullerton (Sr.) |
| Paspalj, Žarko Žarko Paspalj | SF | Yugoslavia ( Serbia ) | KK Partizan ( Serbia ) |
| Rivas, Ramon Ramon Rivas | C | Puerto Rico | Temple (Sr.) |
| Starks, John John Starks + | SG | United States | Oklahoma State (Sr.) |
| Winchester, Kennard Kennard Winchester | SG/SF | United States | Averett (Sr.) |
