# University Accommodation Calendar  Religious & Cultural Observances (2016)

| Date(s) | Observance | Category | Campus Guidance |
| --- | --- | --- | --- |
| Jan 1 | New Year's Day | General | Offices closed |
| Feb 8 | Lunar New Year | Cultural | No exams after 6pm recommended |
| Mar 23–24 | Purim | Jewish | Avoid major evening events |
| Mar 25 | Good Friday | Christian | Reduced services |
| Apr 22–30 | Passover | Jewish | Dining options available |
| May 5 | Cinco de Mayo | Cultural | Programming encouraged |
| Jun 19 | Juneteenth | Cultural | Educational events |
| Jul 4 | Independence Day (US) | General | Offices closed |
| Sep 13–15 | Rosh Hashanah | Jewish | Excused absences |
| Sep 22–23 | Yom Kippur | Jewish | No mandatory events |
| Dec 25 | Christmas Day | Christian | Offices closed |
| Dec 26–Jan 1 | Kwanzaa | Cultural | Optional events |
