# Best-Selling Video Games and Their Main Console Platforms (Lifetime Sales)

| Rank | Game title | Primary platform (console) | Copies sold (million) | Notes |
| --- | --- | --- | --- | --- |
| 1 | Wii Sports | Wii | 82.5 | Often bundled with console |
| 2 | Grand Theft Auto V | PlayStation 3 | 70.0 | Multi-platform release |
| 3 | Mario Kart 8 Deluxe | Nintendo Switch | 60.0 | Includes Deluxe re-release |
| 4 | Red Dead Redemption 2 | PlayStation 4 | 55.0 | Multi-platform release |
| 5 | Pokémon Red/Green/Blue/Yellow | Game Boy | 47.5 | Handheld platform |
| 6 | PUBG: Battlegrounds | PC | 42.0 | PC-focused title |
| 7 | The Legend of Zelda: Breath of the Wild | Nintendo Switch | 31.0 | Also on Wii U |
| 8 | Kinect Adventures! | Xbox 360 | 24.0 | Pack-in with Kinect |
| 9 | Super Mario Bros. | NES | 40.2 | Classic first-party title |
| 10 | Minecraft | Multi-platform | 300.0 | Not tied to a single console |
