# History of Nuevo León
> Important dates in the history of Nuevo León

| Date | Event |
| --- | --- |
| 1577 | Alberto del Canto founds the village of Santa Lucía , (now Monterrey ). |
| May 31, 1579 | Philip II of Spain orders the establishment of a new kingdom in the Americas. |
| 1581 | Luis Carvajal y de la Cueva founds the Nuevo Reino de León ( New Kingdom of León ). |
| December 15, 1777 | Pope Pius VI creates the episcopate of Nuevo León in the bull Relata semper |
| October 29, 1810 | News of the Grito de Dolores arrive to Monterrey |
| May 7, 1824 | Nuevo León is designated a Mexican state. |
| March 5, 1825 | First constitution of the state of Nuevo León approved. |
| January 17, 1840 | Republic of the Rio Grande : Nuevo León declares itself independent of México along with Coahuila and Tamaulipas . |
| November 6, 1840 | The Mexican army defeats the separatists. |
| September 20, 1846 | The United States Army begins the siege of Monterrey . |
| February 1848 | The United States Army leaves the territory. |
| February 19, 1856 | Republic of the Sierra Madre : Nuevo León annexes Coahuila and again announces secession from Mexico. |
| April 3, 1864 | Monterrey is declared capital of Nuevo León. Separatists defeated. |
| June 1991 | Nuevo León opens its frontier with Texas , by building the now modern border-crossing point of Colombia (bridge also called "Solidaridad"). [1] , [2] ; see bridge III in: [3] . |
