# Largest Employers in Fulton County, Georgia (Employee Headcount Not Disclosed)

| Rank | Employer | Industry | Notes |
|---:|---|---|---|
| 1 | Delta Air Lines (HQ) | Air Transportation | Global headquarters presence |
| 2 | Emory Healthcare | Healthcare | Major regional provider |
| 3 | Atlanta Public Schools | Education | Large public employer |
| 4 | Georgia-Pacific | Manufacturing / Paper | Corporate offices |
| 5 | The Home Depot | Retail / Corporate | Corporate campus |
| 6 | Cox Enterprises | Media / Telecom | Corporate operations |
| 7 | Grady Health System | Healthcare | Public hospital system |
| 8 | State of Georgia (Agencies in County) | Government | Multiple departments |
| 9 | UPS (Local Operations) | Logistics | Distribution and admin |
| 10 | Microsoft (Regional Office) | Technology | Regional sales/engineering |
