# Combined Crochet Hook and Knitting Needle Size Conversion (Metric US UK)

| Metric (mm) | US Knitting Needle | UK Knitting Needle | US Crochet Hook | Notes |
|---:|---:|---:|:---:|---|
| 2.75 | 2 | 12 | C/2 | Dual-purpose sizing shown |
| 3.25 | 3 | 10 | D/3 | Includes crochet hook letter |
| 3.50 | 4 | 9 | E/4 | Crochet + knitting in one row |
| 3.75 | 5 | 9 | F/5 | Mixed tool types |
| 4.00 | 6 | 8 | G/6 | Hook sizes included |
| 4.50 | 7 | 7 | 7 | Not needle-only |
| 5.00 | 8 | 6 | H/8 | Crochet hook mapping present |
| 5.50 | 9 | 5 | I/9 | Shopping reference but mixed |
| 6.00 | 10 | 4 | J/10 | Adds hook sizes |
| 6.50 | 10.5 | 3 | K/10.5 | Still includes crochet |
| 8.00 | 11 | 0 | L/11 | Multi-tool chart |
| 9.00 | 13 | 00 | M/N-13 | Crochet field violates focus |
