# The Forest School , Winnersh
> Subjects taught

| Subject | Taught at KS3 | Taught at GCSE | Taught at A level |
| --- | --- | --- | --- |
| Art | Compulsory | Yes | Yes |
| Biology | Part of Science | Compulsory | Yes |
| Business Studies | No | Yes | Yes |
| Chemistry | Part of Science | Compulsory | Yes |
| Computer Science | Part of ICT | Yes (and ICT) | Yes |
| Design Technology | Compulsory | Yes^ | Yes |
| Drama | Compulsory | Yes | Yes |
| Economics | No | Yes | Yes |
| English | Compulsory | Compulsory | Yes |
| French | Compulsory | Yes | Yes |
| Geography | Compulsory | Yes | Yes |
| History | Compulsory | Yes | Yes |
| Law | No | No | Yes |
| Mathematics * | Compulsory | Compulsory | Yes |
| Media Studies | No | Yes | Yes |
| Music | Compulsory | Yes | Yes |
| Photography | No | Yes | Yes |
| Psychology | No | No | Yes |
| Physical Education | Compulsory | Yes | Yes |
| Physics | Part of Science | Compulsory | Yes |
| PSHE | Yes | Yes | EPQ |
| Religious Education | Compulsory | Compulsory | Not timetabled |
| Sociology | No | Yes | Yes |
| Spanish | Yes | Yes | No |
| Travel & Tourism | No | No | Yes |
