# Academic Year Planner (Start Dates plus Notes; End Dates Omitted)

| Month | School Period | Starts On | Notes |
| --- | --- | --- | --- |
| September | Autumn Term | 2 Sep 2024 | New intake week |
| October | Autumn Half Term | 21 Oct 2024 | Optional clubs paused |
| November | Autumn Term (returns) | 28 Oct 2024 | Normal timetable resumes |
| December | Christmas Holidays | 20 Dec 2024 | Early closure expected |
| January | Spring Term | 6 Jan 2025 | Assessments begin |
| February | Spring Half Term | 17 Feb 2025 | Trips week cancelled |
| March | Spring Term (continues) | 24 Feb 2025 | Parent meetings |
| April | Easter Holidays | 7 Apr 2025 | Holiday clubs available |
| April | Summer Term | 28 Apr 2025 | Exam season starts |
| May | Summer Half Term | 26 May 2025 | Revision resources published |
| June | Summer Term (continues) | 2 Jun 2025 | Sports day window |
| July | Summer Holidays | 21 Jul 2025 | Year-end reports issued |
