# Monthly Weather Extremes and Records for a City (Records Instead of Typical Averages)

| Month | Record High (°F) | Record High Year | Record Low (°F) | Record Low Year | Most Rain in a Day (in) | Peak Gust (mph) |
|---|---:|---:|---:|---:|---:|---:|
| Jan | 87 | 1950 | -4 | 1977 | 2.6 | 58 |
| Feb | 90 | 1986 | 1 | 1989 | 2.2 | 61 |
| Mar | 97 | 1990 | 14 | 1960 | 2.9 | 64 |
| Apr | 102 | 2006 | 25 | 1965 | 3.4 | 55 |
| May | 106 | 1998 | 34 | 1967 | 3.1 | 52 |
| Jun | 112 | 2017 | 41 | 1954 | 2.7 | 49 |
| Jul | 118 | 2005 | 52 | 1942 | 3.0 | 46 |
| Aug | 117 | 2020 | 50 | 1951 | 3.6 | 51 |
| Sep | 111 | 2015 | 38 | 1964 | 3.9 | 57 |
| Oct | 103 | 1980 | 24 | 1971 | 3.2 | 60 |
| Nov | 94 | 1999 | 12 | 1976 | 2.8 | 59 |
| Dec | 88 | 1934 | 3 | 1972 | 2.4 | 56 |
