# The Little Mermaid ( musical )
> Roles and original cast

| Character | Original Broadway Cast | Character Description |
| --- | --- | --- |
| Princess Ariel | Sierra Boggess | The beautiful, adventurous and headstrong primary protagonist of the musical, dreaming of life on land instead of "under the sea". She is the youngest daughter of King Triton, and the apparent niece of Ursula. |
| Prince Eric | Sean Palmer | The musical's handsome and hopeful secondary protagonist. He is destined to recover the girl that saved him from drowning, ignorant to the fact that it is Ariel, with whom he eventually falls in love. |
| King Triton | Norm Lewis | The strict but caring father of Ariel, and ruler over Atlantica. He originally hates humans, due to the loss of his wife, causing him to commonly reprimand Ariel for her constant human explorations, but eventually realizes it is best to let her follow her dreams. He is the apparent brother of Ursula. |
| Ursula | Sherie Rene Scott | The musical's sinister and cunning primary antagonist. She tricks Ariel into trading her voice for a pair of human legs in order to hopefully win Prince Eric's heart, only to attempt to take advantage of Ariel's naivety. She is the apparent sister of King Triton, and aunt of Ariel. |
| Sebastian | Tituss Burgess | Ariel's musical and practical guardian, Triton's faithful servant, and court composer. He serves as the musical's primary comic relief, and reluctantly assists Ariel in her efforts to charm Prince Eric. |
| Flounder | Cody Hanford and J.J. Singleton † , Trevor Braun and Brian D'Addario | Ariel's loyal companion. He often accompanies Ariel on her excursions in search of human artifacts. |
| Scuttle | Eddie Korbich | He believes he is an expert on human artifacts, although he is mainly incorrect, and is often consulted by Ariel for information on her discovered "treasures". He also serves as a comic relief, alongside Sebastian. |
| Flotsam | Tyler Maynard | One of Ursula's sly and slippery henchmen. |
| Jetsam | Derrick Baskin | Another one of Ursula's cunning henchmen. |
| Grimsby | Jonathan Freeman | Prince Eric's faithful servant and friend. Seemingly a close friend of Eric's late father, Grimsby's main initiative is to ensure that Eric marries a princess to maintain his promise to the deceased king. He realizes Ariel is a princess, and is more than happy to let them wed. |
| Chef Louis | John Treacy Egan | The castle chef, who tries to capture Sebastian and cook him for dinner. |
| Carlotta | Heidi Blickenstaff | Carlotta is seemingly the castle's primary maid and housekeeper. Despite the remarks of her fellow maids and servants, she is exceptionally kind to Ariel and does her best to make her feel comfortable. |
