# Colleges You Can Get Into with a 3.2 GPA (School-by-School Admission GPA Ranges)

| School | Location | Typical Admitted GPA (Middle 50%) | GPA Likelihood for 3.2 | Notes |
| --- | --- | --- | --- | --- |
| California State University, Sacramento | California | 3.00–3.60 | Target | CSU index varies by major |
| University of Nevada, Reno | Nevada | 3.00–3.70 | Target | Some programs more selective |
| Arizona State University (Tempe) | Arizona | 3.10–3.80 | Target | Larger applicant pool for some majors |
| University of Central Florida | Florida | 3.20–3.90 | Target/Reach | Competitive for limited-access majors |
| University of Houston | Texas | 3.10–3.70 | Target | Automatic admission can depend on class rank |
| San Diego State University | California | 3.40–4.00 | Reach | Impacted majors raise GPA expectations |
| Oregon State University | Oregon | 3.00–3.70 | Target | Consider holistic factors |
| Colorado State University | Colorado | 3.10–3.80 | Target | Stronger majors may skew higher |
| University of Massachusetts Boston | Massachusetts | 2.90–3.60 | Target | Transfer pathways common |
| University of North Texas | Texas | 2.80–3.50 | Likely/Target | Merit aid may require higher GPA |
