# Bottled Water Brands pH Comparison (with Health Verdict Column)

| Brand | Water Type / Source | Measured pH | Health Verdict (Good/Bad) |
|---|---|---:|---|
| Essentia | Purified, ionized + electrolytes | 9.0 | Good (alkaline) |
| Evian | Natural spring water | 7.2 | Good |
| Fiji | Artesian aquifer (Fiji) | 7.0 | Neutral (OK) |
| Perrier | Carbonated mineral water | 5.5 | Bad (acidic) |
| Smartwater | Distilled w/ added minerals | 7.0 | Neutral |
| VOSS | Artesian water | 7.3 | Good |
| Poland Spring | Spring water | 6.3 | Bad |
| Acqua Panna | Spring water (Italy) | 8.2 | Good |
| Propel Fitness Water | Flavored/processed water | 3.4 | Very Bad |
| Icelandic Glacial | Spring water | 8.3 | Good |
