# Mexico’s ‘War’ and Violence Indicators by Year (Public Security Statistics)

| Year | Labeled Event | Homicides | Kidnappings | Disappearances (reported) | Notes |
|---|---|---:|---:|---:|---|
| 2006 | "Drug War" escalation | 10,452 | 326 | 1,800 | Start of major deployments |
| 2007 | "Drug War" continuation | 11,253 | 438 | 2,200 | Increased inter-cartel violence |
| 2008 | "Drug War" continuation | 14,006 | 634 | 3,100 | Violence spreads to new states |
| 2009 | "Drug War" continuation | 16,118 | 700 | 3,800 | High-profile attacks |
| 2010 | "Drug War" peak period | 22,852 | 1,200 | 5,400 | Mass-casualty incidents |
| 2011 | "Drug War" continuation | 27,213 | 1,700 | 6,200 | Federal operations expand |
| 2012 | "Drug War" continuation | 25,967 | 1,800 | 6,700 | Leadership targeting |
| 2013 | "Drug War" continuation | 23,096 | 1,600 | 7,100 | Fragmentation of groups |
| 2014 | "Drug War" continuation | 20,010 | 1,300 | 7,800 | Regional spikes |
| 2015 | "Drug War" resurgence | 20,762 | 1,100 | 8,500 | New hotspots |
