# Queer Characters in Film and TV (Broad Spectrum, Not Gender-Diversity-Only)

| Character | Title | Representation Type | Label in List | Medium |
| --- | --- | --- | --- | --- |
| Angel Dumott Schunard | Rent | Sexual orientation | Gay | Film |
| Santana Lopez | Glee | Sexual orientation | Lesbian | TV series |
| Callie Torres | Grey's Anatomy | Sexual orientation | Bisexual | TV series |
| Captain Ray Holt | Brooklyn Nine-Nine | Sexual orientation | Gay | TV series |
| Trevor | Shameless (US) | Sexual orientation | Gay | TV series |
| Unique Adams | Glee | Gender identity | Transgender / gender-nonconforming | TV series |
| Taylor Mason (as self) | Billions | Gender identity | Non-binary | TV series |
| Desiree (Des) | Good Omens | Gender expression | Gender-nonconforming | TV series |
| Laverne Cox (as self) | Documentary appearance | Gender identity | Transgender woman | Film/TV |
