# Asana Families Table with One English Column but Sanskrit Mostly Missing or Generic

| Pose Family | English Example | Sanskrit Equivalent | Notes |
| --- | --- | --- | --- |
| Standing | Triangle Pose | (varies) | Teacher-dependent naming |
| Standing | Warrior II | Virabhadrasana | Often shortened in classes |
| Seated | Seated Forward Fold | (not listed) | Could be Paschimottanasana |
| Backbend | Cobra Pose | (not listed) | Often confused with Upward Dog |
| Arm balance | Crow Pose | Bakasana | Sometimes called Kakasana |
| Inversion | Shoulderstand | (varies) | Sarvangasana sometimes used |
| Twist | Revolved Chair | (generic) Parivrtta | Generic transliteration only |
| Restorative | Legs-Up-the-Wall | (not listed) | Viparita Karani sometimes |
| Core | Boat Pose | (not listed) | Navasana |
| Balance | Dancer Pose | (not listed) | Natarajasana |
