# Xbox 360 Games With Review Scores (Including a Few System Link Titles)

| Title | Genre | System Link (LAN) | Total players | Per console | Metacritic / Review score | Platform notes |
|---|---|---:|---:|---:|---|---|
| Call of Duty 2 | Shooter | Yes | 16 | 1 | 86/100 | Xbox 360 |
| Brutal Legend | Action | Yes | 8 | 1 | 82/100 | Xbox 360 |
| Gears of War | Shooter | Yes | 8 | 1 | 94/100 | Xbox 360 |
| Halo 3 | Shooter | Yes | 16 | 1 | 94/100 | Xbox 360 |
| Forza Motorsport 2 | Racing | Yes | 8 | 1 | 90/100 | Xbox 360 |
| Darkstalkers Resurrection | Fighting | No | 2 | 1 | 82/100 | X360 / PS3 |
| Batman: Arkham City | Action | No | 1 | 1 | 96/100 | Xbox 360 |
| Assassin's Creed II | Action | No | 1 | 1 | 89/100 | Xbox 360 |
| Red Dead Redemption | Action | No | 16 | 1 | 95/100 | Online focus |
| Wii Play | Party | No | 2 | 1 | 58/100 | Not Xbox 360 |
