# English Premier League (2016–17 season) — Participating clubs

| Tier | Club | City | Notes |
| --- | --- | --- | --- |
| Top flight | Arsenal | London | — |
| Top flight | Bournemouth | Bournemouth | — |
| Top flight | Burnley | Burnley | Promoted from Championship |
| Top flight | Chelsea | London | — |
| Top flight | Crystal Palace | London | — |
| Top flight | Everton | Liverpool | — |
| Top flight | Hull City | Hull | Promoted from Championship |
| Top flight | Leicester City | Leicester | — |
| Top flight | Liverpool | Liverpool | — |
| Top flight | Manchester City | Manchester | — |
| Top flight | Manchester United | Manchester | — |
| Top flight | Middlesbrough | Middlesbrough | Promoted from Championship |
| Top flight | Southampton | Southampton | — |
| Top flight | Stoke City | Stoke-on-Trent | — |
| Top flight | Sunderland | Sunderland | — |
| Top flight | Swansea City | Swansea | — |
| Top flight | Tottenham Hotspur | London | — |
| Top flight | Watford | Watford | — |
| Top flight | West Bromwich Albion | West Bromwich | — |
| Top flight | West Ham United | London | — |
