# 2007 NASCAR Canadian Tire Series
> Schedule

| Race | Name | Track | Date |
| --- | --- | --- | --- |
| 1 | Dodge Dealers 200 | Cayuga International Speedway , Hamilton | May 26 |
| 2 | Dickies 200 presented by Canadian Shield | Mosport International Raceway , Bowmanville | June 17 |
| 3 | Mopar 300 | Barrie Speedway , Barrie | July 1 |
| 4 | BC Dodge Dealers Dodge Avenger 300 | SunValley Speedway , Vernon | July 15 |
| 5 | Rexall Grand Prix of Edmonton | City Centre Airport , Edmonton | July 21 |
| 6 | NAPA Autopro 100 | Circuit Gilles Villeneuve , Montreal | August 4 |
| 7 | Full Throttle Energy Drink 200 | Mosport International Raceway , Bowmanville | August 11 |
| 8 | GP3R 100 | Circuit Trois-Rivières , Trois-Rivières | August 19 |
| 9 | Subway 200 | Cayuga International Speedway , Hamilton | September 1 |
| 10 | ATTO 200 | Barrie Speedway , Barrie | September 8 |
| 11 | Atlantic Dodge Dealers 300 | Riverside Speedway , Antigonish | September 15 |
| 12 | Dodge Dealers Of Ontario Dodge Charger 250 | Kawartha Speedway , Peterborough | September 23 |
