# Seoul United FC
> Honours

| Season | Teams | Challengers League | Pld | W | D | L | GF | GA | GD | Pts | League Cup | FA Cup | Manager |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2007 | 10 | Champions | 18 | 10 | 7 | 1 | 42 | 18 | +24 | 37 | – | – | Im Geun-Jae |
| 2008 | 16 | 5th Overall | 29 | 14 | 6 | 9 | 63 | 47 | +16 | 48 | – | Prelim Round 3 | Im Geun-Jae |
| 2009 | 17 | 13th | 32 | 11 | 7 | 14 | 70 | 56 | +14 | 40 | – | Prelim Round 3 | Lee Chang-Hwan |
| 2010 | 18 | 6th in Group B | 25 | 10 | 8 | 7 | 45 | 29 | +16 | 38 | – | DNP | Kim Gang-Nam |
| 2011 | 16 | 2nd in Group B | 22 | 15 | 4 | 3 | 72 | 25 | +47 | 49 | – | Prelim Round 1 | From Jul, Im Geun-Jae |
| 2012 | 18 | 3rd in Group A | 16 | 11 | 1 | 4 | 48 | 17 | +31 | 34 | – | Prelim Round 1 | Jan–Jul, Bae Hyeong-Ryeol; Jul–Dec, Yun Pyo-Ho |
| 2013 | 18 | 5th in Group B | 16 | 8 | 3 | 5 | 38 | 31 | +7 | 27 | – | Prelim Round 1 | Kim Chang-Gyeom |
| 2014 | 18 | 7th in Group A | 25 | 6 | 4 | 15 | 28 | 52 | -24 | 22 | – | Prelim Round 1 | Yu Gi-Heung |
| 2015 | 18 | 8th in Group B | 25 | 6 | 4 | 15 | 52 | 58 | -6 | 22 | – | Prelim Round 2 | Choi Sang-Kook |
