# Amino Acid Reference  Names with Dietary Category and Molecular Properties (No Codon Focus)

| Amino Acid | Essentiality (human) | Molecular weight (Da) | Side-chain type | Typical role |
| --- | --- | --- | --- | --- |
| Glycine | nullssential | 75.07 | Nonpolar | Collagen component |
| Alanine | nullssential | 89.09 | Nonpolar | Glucose–alanine cycle |
| Serine | nullssential | 105.09 | Polar | Phosphorylation sites |
| Proline | nullssential | 115.13 | Nonpolar | Helix breaker |
| Aspartic acid | nullssential | 133.10 | Acidic | Catalytic residues |
| Glutamic acid | nullssential | 147.13 | Acidic | Neurotransmission |
| Lysine | Essential | 146.19 | Basic | Acetylation sites |
| Threonine | Essential | 119.12 | Polar | Glycoproteins |
| Phenylalanine | Essential | 165.19 | Aromatic | Precursor to tyrosine |
| Tryptophan | Essential | 204.23 | Aromatic | Precursor to serotonin |
| Methionine | Essential | 149.21 | Sulfur | Start/translation initiation |
| Cysteine | Conditionally essential | 121.16 | Sulfur | Disulfide bonds |
