# List of Dragon Ball Z episodes
> Episode list

| Orig. ep# | Initial dub ep# | Translated title/Funimation's dub title Original Japanese title | Original airdate | English airdate |
| --- | --- | --- | --- | --- |
| 166 | 151 | "A Final Battle Closes In on Goku!! The Mystery of the New Tenkaichi Tournament" / "What is the Tournament?" "Gokū ni Semaru Daikessen!! Shin-Tenkaichi Budōkai no Nazo" (悟空に迫る大決戦!!新天下一武道会の謎) | November 25, 1992 | November 9, 2000 |
| 167 | 152 | "100% Ratings!! The Cell Games Call Forth Death with an Exclusive Live Broadcast" / "The Doomsday Broadcast" "Shichōritsu Hyaku Pāsento!! Shi o Yobu Seru Gēmu Dokusen Namahōsō" (視聴率100%!!死を呼ぶセルゲーム独占生放送) | December 2, 1992 | November 13, 2000 |
| 168 | 153 | "Goku and Gohan... The Hero Father and Son's Ultimate Level-Up" / "Meet Me in the Ring" "Gokū to Gohan... Hīrō Oyako Kyūkyoku Reberu Appu" (悟空と悟飯…ヒーロー親子究極レベルアップ) | December 9, 1992 | November 14, 2000 |
| 169 | 154 | "Goku's Composure!? Let's Rest and Wait for the Cell Games" / "No Worries Here" "Gokū no Yoyū!? Yasunde Matō Seru Gēmu" (悟空の余裕!?休んで待とうセルゲーム) | December 16, 1992 | November 15, 2000 |
| 170 | 155 | "A Warrior's Rest... The Girl, the Lies, and Gohan's Resolution" / "A Girl Named Lime" "Senshi no Kyūsoku... Shōjo to Uso to Gohan no Ketsui" (戦士の休息…少女と嘘と悟飯の決意) | January 13, 1993 | November 16, 2000 |
| 171 | 156 | "Hidden Power!! When Gohan Was a Baby" / "Memories of Gohan" "Himerareta Chikara!! Gohan ga Akanbō datta Koro" (秘められた力!!悟飯が赤ン坊だった頃) | January 20, 1993 | November 20, 2000 |
| 172 | 157 | "Seek Out Kami- sama !! Goku's Great Instantaneous Movement" / "A New Guardian" "Kamisama o Sagashidase!! Goku, Dai Shunkan Idō" (神様を探し出せ!!悟空、大瞬間移動) | January 27, 1993 | November 21, 2000 |
| 173 | 158 | "Dende's First Task!! The Dragon Balls Restored" / "Dende's Dragon" "Dende no Hatsu Shigoto!! Doragon Bōru Fukkatsu da" (デンデの初仕事!!ドラゴンボール復活だ) | February 3, 1993 | November 22, 2000 |
| 174 | 159 | "A Hard Problem for Goku!? Take Back the Dragon Balls" / "The Puzzle of General Tao" "Gokū ni Nanmon!? Doragon Bōru o Torimodose" (悟空に難問!?神龍球をとり戻せ) | February 10, 1993 | November 23, 2000 |
| 175 | 160 | "Those Who Would Challenge Cell!! The Curtain Rises on the Battle" / "The Games Begin" "Seru ni Idomu Mono Tachi!! Kessen no Makuake" (セルに挑む者たち!!決戦の幕開け) | February 17, 1993 | November 27, 2000 |
| 176 | 161 | "Just a Moment!! The Satan Squad Goes On the Rampage" / "Losers Fight First" "Chotto Matta!! Satangundan Daiabare" (ちょっと待った!!サタン軍団大暴れ) | March 3, 1993 | November 28, 2000 |
| 177 | 162 | "Fight Time, Goku!! The Ultra-Tense Cell Games" / "Goku vs. Cell" "Shōbu da Gokū!! Chō Kinpaku Seru Gēmu" (勝負だ悟空!!超緊迫セルゲーム) | March 10, 1993 | November 29, 2000 |
