# Drug Possession and Trafficking Penalties (Georgia Examples) — Offense-Based Table

| Drug type | Conduct | Charge level | Prison range | Fine/other consequences |
|---|---|---|---|---|
| Marijuana (< 1 oz) | Possession | Misdemeanor | Up to 12 months | Up to $1,000 |
| Marijuana (> 1 oz) | Possession | Felony | 1–10 years | Fines possible |
| Cocaine | Possession (first offense) | Felony | 2–15 years | Fines possible |
| Cocaine | Possession (second+ offense) | Felony | 5–30 years | Fines possible |
| Methamphetamine | Possession | Felony | 2–15 years | Fines possible |
| Heroin | Trafficking (threshold quantities) | Felony | 5–30 years | Large mandatory fines |
| Prescription opioids | Possession without prescription | Felony | 1–10 years | Probation possible |
| Any controlled substance | Distribution/sale | Felony | 5–30 years | School-zone enhancements |
| Any controlled substance | Possession with intent | Felony | 1–30 years | Intent inferred by quantity |
| Paraphernalia | Possession | Misdemeanor | Up to 12 months | Fines possible |
