# Surface Pro Lineup Comparison (2013–2024)  Size, CPU, Ports, and Release Timing

| Model | Release year | Display size | Resolution | CPU options | RAM options | Storage options | Ports |
|---|---:|---:|---:|---|---|---|---|
| Surface Pro (1st gen) | 2013 | 10.6 in | 1920×1080 | Intel Core i5 | 4 GB | 64/128 GB | USB-A, Mini DisplayPort |
| Surface Pro 2 | 2013 | 10.6 in | 1920×1080 | Intel Core i5 | 4/8 GB | 64–512 GB | USB-A, Mini DisplayPort |
| Surface Pro 3 | 2014 | 12.0 in | 2160×1440 | Intel Core i3/i5/i7 | 4/8 GB | 64–512 GB | USB-A, Mini DisplayPort |
| Surface Pro 4 | 2015 | 12.3 in | 2736×1824 | Intel m3/i5/i7 | 4–16 GB | 128–512 GB | USB-A, Mini DisplayPort |
| Surface Pro (5th Gen) | 2017 | 12.3 in | 2736×1824 | Intel m3/i5/i7 | 4–16 GB | 128 GB–1 TB | USB-A, Mini DisplayPort |
| Surface Pro 6 | 2018 | 12.3 in | 2736×1824 | Intel Core i5/i7 | 8–16 GB | 128 GB–1 TB | USB-A, Mini DisplayPort |
| Surface Pro 7 | 2019 | 12.3 in | 2736×1824 | Intel Core i3/i5/i7 | 4–16 GB | 128 GB–1 TB | USB-A, USB-C |
| Surface Pro 8 | 2021 | 13.0 in | 2880×1920 | Intel Core i5/i7 | 8–32 GB | 128 GB–1 TB | 2×Thunderbolt 4 |
| Surface Pro 9 | 2022 | 13.0 in | 2880×1920 | Intel / SQ3 | 8–32 GB | 128 GB–1 TB | USB-C/Thunderbolt (Intel) |
| Surface Pro 10 | 2024 | 13.0 in | 2880×1920 | Intel Core Ultra | 8–64 GB | 256 GB–1 TB | Thunderbolt 4 |
