# Newborn Screening Targets  Biomarkers, Methods, and Related Genetic Conditions

| Screening target | Biomarker (example) | Primary method | Flagged condition(s) | Follow-up/confirmation |
|---|---|---|---|---|
| Congenital hypothyroidism | Elevated TSH | dried blood spot immunoassay | congenital hypothyroidism | serum T4/TSH |
| PKU | Elevated phenylalanine | tandem MS | phenylketonuria | dietary response + genetic test |
| MCAD deficiency | Elevated C8 acylcarnitine | tandem MS | fatty-acid oxidation defect | enzyme assay |
| Galactosemia | Low GALT activity | enzyme assay | classic galactosemia | molecular confirmation |
| Sickle cell disease | HbS pattern | HPLC/IEF | sickle cell disease | confirmatory electrophoresis |
| Cystic fibrosis | Elevated IRT | immunoassay | cystic fibrosis | sweat test |
| Congenital adrenal hyperplasia | Elevated 17-OHP | immunoassay | CAH | ACTH stimulation test |
| Severe combined immunodeficiency | Low TRECs | PCR | SCID | immunophenotyping |
| Biotinidase deficiency | Low biotinidase activity | enzyme assay | biotinidase deficiency | confirmatory enzyme test |
| Spinal muscular atrophy | SMN1 deletion screen | PCR | SMA | confirmatory genetic testing |
