# A Level Subject Options (Sample List of Individual Subjects)

| Subject | Level |
| --- | --- |
| English Literature | A Level |
| Mathematics | A Level |
| Further Mathematics | A Level |
| Biology | A Level |
| Chemistry | A Level |
| Physics | A Level |
| Psychology | A Level |
| Economics | A Level |
| Business | A Level |
| History | A Level |
| Geography | A Level |
| Computer Science | A Level |
| Art and Design | A Level |
| Music | A Level |
| Drama and Theatre | A Level |
| Politics | A Level |
| Sociology | A Level |
| French | A Level |
| Spanish | A Level |
