# Routine Immunization Schedule Snapshot (General Population) — Not Travel Requirement Focus

| Country | Target Group | Vaccine | Recommended Age | Booster Interval | Program Type |
| --- | --- | --- | --- | --- | --- |
| Indonesia | Infants | DTP | 2, 3, 4 months | Booster at 18 months | National EPI |
| Indonesia | Infants | Polio | 2, 3, 4 months | Booster at 18 months | National EPI |
| South Africa | Infants | MMR | 9, 12 months | — | National EPI |
| South Africa | Adolescents | HPV | 9–14 years | 2 doses | School-based |
| Kenya | Infants | BCG | At birth | — | National EPI |
| Kenya | Infants | Measles | 9 months | — | National EPI |
| Philippines | Pregnant women | Tetanus toxoid | Per ANC schedule | Multiple doses | Maternal program |
| Brazil | Adults | Influenza | Annual | Yearly | Seasonal campaign |
| India | Infants | Hepatitis B | Birth, 6, 10, 14 weeks | — | National EPI |
