# Mega Millions (US) — Odds, Prize Estimates, and Game Notes

| Prize tier | Match requirement | Odds per play | Typical payout | Notes |
|---|---|---:|---:|---|
| Jackpot | 5 numbers + Mega Ball | 1 in 302,575,350 | $20M+ (annuity) | Jackpot shared if multiple winners |
| Match 5 | 5 numbers | 1 in 12,607,306 | $1,000,000 | 2x–10x with Megaplier |
| Match 4 + MB | 4 numbers + Mega Ball | 1 in 931,001 | $10,000 | Prize increases with Megaplier |
| Match 4 | 4 numbers | 1 in 38,792 | $500 | Fixed prize |
| Match 3 + MB | 3 numbers + Mega Ball | 1 in 14,547 | $200 | Fixed prize |
| Match 3 | 3 numbers | 1 in 606 | $10 | Break-even possible depending on ticket price |
| Match 2 + MB | 2 numbers + Mega Ball | 1 in 693 | $10 | Fixed prize |
| Match 1 + MB | 1 number + Mega Ball | 1 in 89 | $4 | Small prize |
| Match 0 + MB | Mega Ball only | 1 in 37 | $2 | Often equals ticket cost |
| Ticket details | $2 base play | — | — | Megaplier add-on costs extra; draw days Tue/Fri |
