# Canada – Listed Terrorist Entities (selected entries, official-style layout)

| Date Listed | Entity Name | Listing Type / Notes |
| --- | --- | --- |
| 18 Jul 2002 | Al-Qaida | Listed under Canada’s terrorist entity regime |
| 18 Jul 2002 | Lashkar-e-Taiba | Spelling may appear as Lashkar-e-Tayyiba in other lists |
| 19 Nov 2002 | Hamas | Listed as an entity (not an individuals list) |
| 19 Nov 2002 | Palestinian Islamic Jihad | Also referenced as PIJ |
| 21 Dec 2012 | Boko Haram | Listed as a terrorist entity |
| 21 Dec 2012 | Al Shabaab | Somalia-based organisation |
| 20 Jun 2013 | Islamic State of Iraq and the Levant (ISIL) | Later commonly referred to as Islamic State |
| 03 Jul 2014 | Ansar al-Islam | Listed as an entity |
| 05 Apr 2019 | Proud Boys | Listed as a terrorist entity (Canada) |
