# History of Microsoft Office
> Windows Office version up to New versions

| Starter* | Office Online | Home and Student | Home and Business | Small Business Basics | Standard | Professional | Professional Plus |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Word Starter Edition | Word Basic | Word | Word | Word | Word | Word | Word |
| Excel Starter Edition | Excel Basic | Excel | Excel | Excel | Excel | Excel | Excel |
| PowerPoint Viewer | PowerPoint Basic | PowerPoint | PowerPoint |  | PowerPoint | PowerPoint | PowerPoint |
|  | OneNote Basic | OneNote | OneNote | OneNote | OneNote | OneNote | OneNote |
|  |  |  | Outlook | Outlook | Outlook | Outlook | Outlook |
|  |  |  |  |  | Publisher | Publisher | Publisher |
|  |  |  |  |  |  | Access | Access |
|  |  |  |  |  |  |  | InfoPath *** |
|  |  |  |  |  |  |  | Lync / Skype for Business |
|  |  |  |  |  |  |  | SharePoint Workspace**** |
|  |  |  |  |  |  |  | Skydrive Pro***** |
