# Bridging inorganic ligands with examples and notes (mixed content)

| Bridging ligand | Ligand formula | Typical charge | Example complex | Note |
| --- | --- | --- | --- | --- |
| Hydroxide | OH− | −1 | [Fe2(OH)2(H2O)8]4+ | common in olation |
| Oxide | O2− | −2 | [Cr2O7]2− | often in oxo-bridges |
| Sulfide | S2− | −2 | [FeS]n | solid-state bridges |
| Azide | N3− | −1 | [Cu(N3)2]n | can form chains |
| Carbonate | CO3^2− | −2 | [Co(CO3)(NH3)4]+ | may be chelating too |
| Chloride | Cl− | −1 | [Al2Cl6] | halide bridges |
| Fluoride | F− | −1 | [ZrF6]2− | strong M–F |
| Cyanide | CN− | −1 | [Fe(CN)6]3− | forms Prussian blue |
| Thiocyanate | SCN− | −1 | [Co(SCN)4]2− | ambidentate |
