# Jewish Holidays by Month (Gregorian) — Start and End Dates (2026–2027)

| Gregorian Month | Holiday | 2026 Date Range (sundown–nightfall) | 2027 Date Range (sundown–nightfall) | Notes |
| --- | --- | --- | --- | --- |
| March | Purim | Mar 1–Mar 2, 2026 | Mar 21–Mar 22, 2027 | Main observance day falls within this window |
| April | Passover (Pesach) | Apr 1–Apr 9, 2026 | Apr 21–Apr 29, 2027 | 7/8-day observance varies by location |
| May | Lag BaOmer | May 6–May 7, 2026 | May 26–May 27, 2027 | Celebratory day during the Omer count |
| May/June | Shavuot | May 21–May 23, 2026 | Jun 10–Jun 12, 2027 | 1 day (Israel) / 2 days (Diaspora) |
| September | Rosh Hashanah | Sep 11–Sep 13, 2026 | Oct 2–Oct 4, 2027 | Two-day festival |
| September | Yom Kippur | Sep 20–Sep 21, 2026 | Oct 11–Oct 12, 2027 | ~25-hour fast |
| September/October | Sukkot | Sep 25–Oct 3, 2026 | Oct 16–Oct 24, 2027 | Seven days followed by concluding festivals |
| October | Shemini Atzeret | Oct 2–Oct 3, 2026 | Oct 23–Oct 24, 2027 | Immediately after Sukkot |
| October | Simchat Torah | Oct 3–Oct 4, 2026 | Oct 24–Oct 25, 2027 | Often observed following Shemini Atzeret |
| December | Hanukkah | Dec 4–Dec 12, 2026 | Dec 24, 2027–Jan 1, 2028 | Eight nights, spans months some years |
