# List of Microsoft Windows components
> Applications and utilities

| Component | Description | Introduced |
| --- | --- | --- |
| Easy Transfer | Used to transfer many files at once from one computer to another | Windows Vista |
| Contacts | Keeps a single list of contacts that can be shared by multiple apps | Windows Vista |
| Calculator | Calculation application | Windows 1.0 |
| Calendar | Calendaring application | Windows Vista |
| Character Map | Utility to view and search characters in a font, copy them to the clipboard and view their Windows Alt keycodes and Unicode names | Windows 3.1 |
| Cortana | Digital personal assistant | Windows 10 |
| Edge | Web browser | Windows 10 |
| Groove Music | Digital media player and media library application that is used for playing audio . In addition to being a media player, Groove includes the ability to copy music to compact discs , synchronize content with a digital audio player ( MP3 player) or other mobile devices, and let users purchase or rent music from the Windows Store . | Windows 8 |
| Movies & TV | Digital media player and media library application that is used for playing video . In addition to being a media player, Movies & TV lets users purchase or rent movies and TV episodes from the Windows Store . | Windows 8 |
| OneDrive | Freemium cloud storage folder and sync service | Windows 8.1 |
| OneNote | Integrated note-taking app, based on the Microsoft Office product of the same name | Windows 10 |
| Paint | Simple graphics painting app | Windows 1.0 |
| Windows To Go | Utility to create bootable versions of Windows 8 and above | Windows 8 |
| Notepad | Simple text editor | Windows 1.0 |
| Narrator | Screen reader utility that reads dialog boxes and window controls in a number of the more basic applications for Windows | Windows 2000 |
| Sound Recorder | Simple audio recording app that can record from a microphone or headset , and save the results in WAVE format and Windows Media Audio format in some Windows versions | Windows 3.1 |
| Skype | Messaging and calling service | Windows 8.1 , downloadable for previous versions |
| Sticky Notes | Tool for jotting notes on the desktop | Windows Vista |
| Command Prompt | Text-based shell ( command line interpreter ) that provides a command line interface to the operating system | Windows 1.0 |
| WordPad | Simple word processor that is more advanced than Notepad . It has facilities to format and print text, but lacks intermediate features such as a spell checker and thesaurus . | Windows 95 |
| Private Character Editor | Utility to create private use characters as defined under Unicode and various East Asian encoding schemes | Windows 3.1 East Asian editions |
| Remote Desktop Connection | Client implementation of the Remote Desktop Protocol; allows a user to securely connect to a computer running Terminal Services (Remote Desktop on Windows XP and Server 2003) and interact with a full desktop environment on that machine, including support for remoting of printers, audio, and drives. | Windows XP , downloadable for previous Windows versions |
| Remote Assistance | Allows a user to temporarily take over a remote computer over a network or the internet to offer help with and resolve issues | Windows XP |
| Mobility Center | Allows a user to adjust settings related to mobile computing | Windows Vista |
| Speech Recognition | Allows a user to input voice commands | Windows Vista |
| Internet Explorer | Web browser and FTP client . See also: Internet Explorer versions , Features , History , Removal , Browser Helper Objects | Microsoft Plus! for Windows 95 |
| IExpress | Allows users to create self-extracting, self-installing INF installation-based packages | Internet Explorer 6 |
| Xbox | Account manager for Xbox Live user accounts and a screen recording tool | Windows Vista |
| Magnifier | Screen enlargement app | Windows 98 |
| Fax and Scan | Integrated faxing and image scanning application | Windows Vista, older faxing and scanning applications were present in previous Windows versions |
| Windows Media Player | Digital media player and media library application that is used for playing audio , playing video and viewing images . In addition to being a media player, Windows Media Player includes the ability to rip music from, and copy music to compact discs , synchronize content with a digital audio player ( MP3 player) or other mobile devices, and let users purchase or rent music from a number of online music stores . | Windows 95 |
| Photo Viewer | Simple image viewer that can play a simple slideshow | Windows 7 |
| Mail | Email aggregator | Windows Vista |
| Maps | Map viewer that allows users to look for locations, plan routes, and store offline maps | Windows 8 |
| Media Center | Designed to serve as a home-entertainment hub , to be viewed from a distance up to 3 meters (~10 feet) and controlled by specially designed remote controls. Lets users browse and view pictures, videos, and music from local hard drives, optical drives, and network locations, along with viewing, recording and deferred-playing live TV. Features an interactive TV guide with scheduled recording capabilities. Can also be used for visualization of other information (like sports scores) within the interface. | Windows XP Media Center Edition |
| Task Manager | Provides information about computer performance and displays details about running applications, processes, network activity, logged-in users, and system services | Windows 3.0 |
| Disk Cleanup | Utility for compacting rarely used files and removing files that are no longer required | Windows 98 |
| Shadow Copy | Graphical front end for the Shadow Copy service that lets users choose from multiple versions of a file. The shadow copy service creates multiple copies of a file as they are changed over time, so that users can revert to previous versions. | Windows Vista. Windows Server 2003 included Previous Versions support only for client computers. |
| Snipping Tool | Screen-capture tool that allows for taking screenshots (called snips) | Experience Pack for Windows XP Tablet PC Edition 2005 |
| MSN apps | Provide information from MSN web services | Windows 8 |
| Alarms & Clock | App that allows Windows users to set alarms, stopwatches, timers, and view a world clock | Windows 10 . Predecessor "Alarms" introduced in Windows 8 |
| Solitaire Collection | Set of solitaire card games | Windows 10 |
