# List of Ramsar wetlands of international importance
> Latin America and the Caribbean

| Name | Area (ha) |
| --- | --- |
| Abrolhos Marine National Park | 91300 |
| Baixada Maranhense Environmental Protection Area | 1775036 |
| Cabo Orange National Park | 657328 |
| Ilha do Bananal | 562312 |
| Lagoa do Peixe | 34400 |
| Mamirauá | 1124000 |
| Pantanal Matogrossense | 135000 |
| Par.Est.Mar. do Parcel Manoel Luís incl. the Baixios do Mestre Álvaro and Tarol | 34556 |
| Reentrancias Maranhenses | 2680911 |
| Reserva Particular del Patrimonio Natural Fazenda Rio Negro | 7000 |
| Reserva Particular do Patrimonio Natural SESC Pantanal | 87871 |
| Rio Doce State Park | 35973 |
