# Governors by State (Selected)  Tenure Timeline and Re-election History

| State | Governor | Years in Office | Terms Served | Notes |
| --- | --- | --- | --- | --- |
| California | Jerry Brown | 1975–1983; 2011–2019 | 4 | Served non-consecutive eras decades apart |
| Texas | Rick Perry | 2000–2015 | 3+ | Longest-serving Texas governor |
| New York | Nelson Rockefeller | 1959–1973 | 4 | Resigned to become U.S. Vice President |
| Florida | Jeb Bush | 1999–2007 | 2 | Left office due to term limit at the time |
| Illinois | Jim Thompson | 1977–1991 | 4 | Record tenure in Illinois |
| Virginia | Terry McAuliffe | 2014–2018 | 1 | Constitution bars consecutive re-election |
| Oregon | John Kitzhaber | 1995–2003; 2011–2015 | 3 | Resigned during third term |
| Massachusetts | Michael Dukakis | 1975–1979; 1983–1991 | 4 | Non-consecutive service |
| Arizona | Jan Brewer | 2009–2015 | 2 | Succeeded then elected |
| Michigan | Jennifer Granholm | 2003–2011 | 2 | Two full terms served |
