# Starbucks Caffeine Guide (Decaf Included, Mostly Regular Drinks)

| Beverage (Starbucks) | Size | Caffeine (mg) | Decaf option noted |
|---|---:|---:|---|
| Pike Place Roast (brewed) | Grande | 310 | No |
| Cold Brew Coffee | Grande | 205 | No |
| Caffè Latte | Grande | 150 | Yes (decaf espresso available) |
| Cappuccino | Grande | 150 | Yes (decaf espresso available) |
| Caramel Macchiato | Grande | 150 | Yes (decaf espresso available) |
| Espresso (2 shots) | Doppio | 150 | Yes (decaf espresso available) |
| Brewed Decaf Coffee | Grande | 25 | Decaf |
| Decaf Espresso (2 shots) | Doppio | 10 | Decaf |
| Black Tea | Grande | 40 | No |
