# Metric Tap Drill Size Chart (Coarse & Fine Pitch) — Recommended Pre-Tap Drill Diameter

| Metric thread designation | Pitch type | Pitch (mm) | Recommended tap-drill (mm) |
|---|---|---:|---:|
| M3×0.5 | Coarse | 0.50 | 2.5 |
| M4×0.7 | Coarse | 0.70 | 3.3 |
| M5×0.8 | Coarse | 0.80 | 4.2 |
| M6×1.0 | Coarse | 1.00 | 5.0 |
| M6×0.75 | Fine | 0.75 | 5.2 |
| M8×1.25 | Coarse | 1.25 | 6.8 |
| M8×1.0 | Fine | 1.00 | 7.0 |
| M10×1.5 | Coarse | 1.50 | 8.5 |
| M10×1.25 | Fine | 1.25 | 8.8 |
| M12×1.75 | Coarse | 1.75 | 10.2 |
| M12×1.25 | Fine | 1.25 | 10.8 |
| M14×2.0 | Coarse | 2.00 | 12.0 |
