# 2007 in video gaming
> Hardware and software sales

| Place | Wii [31] | Xbox 360 [25] |
| --- | --- | --- |
| 1 | Wii Play ( Nintendo ) | Halo 3 ( Microsoft ) |
| 2 | Mario Party 8 (Nintendo) | Call of Duty 4: Modern Warfare ( Activision ) |
| 3 | Super Mario Galaxy (Nintendo) | Guitar Hero II ( RedOctane ) |
| 4 | Super Paper Mario (Nintendo) | Madden NFL 08 ( Electronic Arts ) |
| 5 | Guitar Hero III: Legends of Rock ( RedOctane ) | Assassin's Creed ( Ubisoft ) |
| 6 | WarioWare: Smooth Moves (Nintendo) | BioShock ( 2K Games ) |
| 7 | Metroid Prime 3: Corruption (Nintendo) | Crackdown (Microsoft) |
| 8 | Resident Evil 4: Wii Edition ( Capcom ) | Guitar Hero III: Legends of Rock (RedOctane) |
| 9 | Mario Strikers Charged (Nintendo) | Tom Clancy's Ghost Recon Advanced Warfighter 2 (Ubisoft) |
| 10 | Pokémon Battle Revolution (Nintendo) | Lost Planet: Extreme Condition ( Capcom ) |
