# MetroAir — Aircraft Movements and Assignments (Tail Numbers)

| Date | Tail number | Aircraft model | Event | From | To | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| 2024-01-12 | N881MA | Boeing 737-8 | Entered service | PAE | BOS | Initial revenue flight |
| 2024-02-03 | N882MA | Boeing 737-8 | Assigned | — | LGA | Based for shuttle program |
| 2024-02-19 | N521MA | Airbus A320-214 | Returned from lease | DUB | MCO | Cabin refresh scheduled |
| 2024-03-02 | N311MA | Airbus A319-112 | Retired | PHL | VCV | Part-out planned |
| 2024-03-18 | N901MA | Embraer 175 | Delivered | SJK | ORD | Operating for regional partner |
| 2024-04-07 | N761MA | Boeing 767-300ER | Stored | JFK | MZJ | Long-term storage |
| 2024-05-22 | N762MA | Boeing 767-300ER | Reactivated | MZJ | JFK | Cargo conversion deferred |
| 2024-06-10 | N410MA | ATR 72-600 | Route launch support | — | BNA | Peak season capacity |
| 2024-07-01 | N883MA | Boeing 737-8 | Maintenance visit | BOS | TUL | C-check |
