# Calorie Density Comparison  Popular Restaurant & Takeout Items (per item)

| Cuisine Type | Food or Dish | Serving / Item | Calories |
| --- | --- | --- | --- |
| Fast Food | Cheeseburger, single | 1 sandwich | 313 |
| Fast Food | Chicken nuggets | 10 pieces | 420 |
| Fast Food | French fries | Medium order | 340 |
| Fast Food | Pepperoni pizza slice | 1 slice (1/8 of 14 in) | 298 |
| Takeout | Burrito (beans, rice, chicken) | 1 burrito | 945 |
| Takeout | Pad Thai with chicken | 1 plate | 960 |
| Takeout | Sushi roll, California | 1 roll (8 pieces) | 255 |
| Takeout | Fried rice, vegetable | 1 container (about 2 cups) | 680 |
| Café | Iced latte, whole milk | 16 fl oz | 250 |
| Dessert | Chocolate chip cookie | 1 large cookie | 320 |
