# Super Smash Bros. Ultimate Fighters - Unlock Conditions and Requirements

| Fighter | Unlock Method | Requirement Details | Mode | Notes |
| --- | --- | --- | --- | --- |
| Ness | Challenger Battle | Win 5 matches as Mario | VS / Classic | Early unlock path varies by route |
| Captain Falcon | Challenger Battle | Clear Classic Mode with 3 characters | Classic | Can re-challenge in Games & More |
| Jigglypuff | Challenger Battle | Play 30 minutes total | Any | Time-based trigger |
| Falco | Challenger Battle | Reach 100 KOs | VS | KOs across modes count |
| Ganondorf | Challenger Battle | Clear Classic Mode as Link | Classic | Route-dependent unlock |
| Mewtwo | Challenger Battle | Clear 10 Classic routes | Classic | Re-fight available if lost |
| Cloud | Challenger Battle | Complete 1 Spirit Board set | Spirits | Example condition |
| Rosalina & Luma | Challenger Battle | Unlock 10 fighters | Any | Becomes available later |
| Sheik | Challenger Battle | Clear Classic Mode as Zelda | Classic | Can be unlocked via Zelda route |
| Zero Suit Samus | Challenger Battle | Clear Classic Mode as Samus | Classic | Separate from Samus in some titles |
